Subject Primary Identifier	Ontology Annotation Subject . Symbol	Base Annotations Subject . Symbol	Subject Background	Subject Zygosity	Ontology Annotation Ontology Term . Identifier	Ontology Annotation Term Name
MGI:98834	Trp53	Trp53<tm1Tyj>/Trp53<tm2.1Tyj>	involves: 129S2/SvPas * 129S4/SvJae	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:98834	Trp53	Trp53<tm1Tyj>/Trp53<tm3.1Tyj>	involves: 129S2/SvPas * 129S4/SvJae	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:1330810	Trp63	Trp63<tm1Cmis>/Trp63<+>	involves: 129P2/OlaHsd * C57BL/6	ht	MP:0011087	neonatal lethality, complete penetrance
MGI:1929183	Tsc1	Tsc1<tm1Chdl>/Tsc1<+>	involves: 129P2/OlaHsd  * C57BL/6JOlaHsd	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:1346031	Tshz1	Tshz1<tm1Garr>/Tshz1<tm2.2Garr>	mixed	ht	MP:0011087	neonatal lethality, complete penetrance
MGI:1336196	Tsix	Tsix/Xist<tm3Sado>/Tsix<+>	involves: 129S1/Sv * 129S4/SvJae * 129X1/SvJ	ht	MP:0011110	preweaning lethality, incomplete penetrance
MGI:1336196	Tsix	Tsix<tm2Jtl>/Tsix<+>	involves: 129 * M. m. castaneus	ht	MP:0002080	prenatal lethality
MGI:1336196	Tsix	Tsix<tm3Jtl>/Tsix<+>	involves: 129	ht	MP:0011103	embryonic lethality at implantation, incomplete penetrance
MGI:98857	Tsta3	Tsta3<tm1Jbl>/Tsta3<+>	involves: 129S2/SvPas * C57BL/6J	ht	MP:0011084	lethality at weaning, incomplete penetrance
MGI:98860	Tsv	Tsv/Tsv<+>	involves: H STOCK * Peru-Wallace	ht	MP:0011090	perinatal lethality, incomplete penetrance
MGI:98864	Ttn	Ttn<tm1.1Isrd>/Ttn<+>	involves: 129S2/SvPas * C57BL/6	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:98864	Ttn	Ttn<tm1.1Isrd>/Ttn<+>	involves: 129S2/SvPas * C57BL/6	ht	MP:0011108	embryonic lethality during organogenesis, incomplete penetrance
MGI:1329045	Tulp3	Tulp3<tm1Jng>/Tulp3<+>	involves: 129S1/Sv * 129X1/SvJ * C57BL/6J	ht	MP:0011102	embryonic lethality, incomplete penetrance
MGI:98880	Tyr	Tyr<c-2CHLb>/Tyr<c-202G>	involves: 101/Rl * C3H/Rl	ht	MP:0011091	prenatal lethality, complete penetrance
MGI:5313310	Ufde	Ufde/Ufde<+>	involves: C3H/HeH	ht	MP:0011090	perinatal lethality, incomplete penetrance
MGI:5313310	Ufde	Ufde/Ufde<+>	involves: C3H/HeH	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:1277988	Uxt	Uxt<tm1.2Sklo>/Uxt<+>	involves: 129S1/Sv * C57BL/6	ht	MP:0011091	prenatal lethality, complete penetrance
MGI:2157980	Vac14	Vac14<Gt(RRP155)Byg>/Vac14<ingls>	involves: 129P2/OlaHsd * C57BL/6J * DBA/2J	ht	MP:0011085	postnatal lethality, complete penetrance
MGI:1858622	Vamp5	Vamp5<tm1(KOMP)Vlcg>/Vamp5<+>	C57BL/6N-Vamp5<tm1(KOMP)Vlcg>	ht	MP:0011090	perinatal lethality, incomplete penetrance
MGI:2135272	Vangl2	Vangl2<Lp-2J>/Vangl2<+>	B6.Cg-Vangl2<Lp-2J>/GrsrJ	ht	MP:0011088	neonatal lethality, incomplete penetrance
MGI:2135272	Vangl2	Vangl2<Lp-2J>/Vangl2<+>	B6.Cg-Vangl2<Lp-2J>/GrsrJ	ht	MP:0011110	preweaning lethality, incomplete penetrance
MGI:99919	Vcp	Vcp<tm1Dts>/Vcp<tm1.1Dts>	involves: 129P2/OlaHsd * C57BL/6 * FVB/N	ht	MP:0011094	embryonic lethality before implantation, complete penetrance
MGI:103178	Vegfa	Vegfa<tm1Gne>/Vegfa<+>	involves: 129S2/SvPas * C57BL/6J	ht	MP:0011098	embryonic lethality during organogenesis, complete penetrance
MGI:1313291	Vezf1	Vezf1<tm1Stmn>/Vezf1<+>	B6.129-Vezf1<tm1Stmn>	ht	MP:0011109	lethality throughout fetal growth and development, incomplete penetrance
MGI:1313291	Vezf1	Vezf1<tm1Stmn>/Vezf1<+>	involves: 129S1/Sv * 129X1/SvJ * C57BL/6	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:88401	Vsx2	Vsx2<tm1.1(DTA)Kash>/Vsx2<+>	involves: 129S4/SvJae * C57BL/6	ht	MP:0011087	neonatal lethality, complete penetrance
MGI:1337100	Wdr1	Wdr1<Gt(XN462)Byg>/Wdr1<rede>	involves: 129P2/OlaHsd * C57BL/6	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:2443231	Wdr19	Wdr19<dmhd>/Wdr19<twto>	involves: FVB/NJ	ht	MP:0011099	lethality throughout fetal growth and development, complete penetrance
MGI:98968	Wt1	Wt1<tm1Asc>/Wt1<+>	involves: 129S7/SvEvBrd * C57BL/6	ht	MP:0011087	neonatal lethality, complete penetrance
MGI:98974	Xist	Tsix/Xist<tm3Sado>/Xist<+>	involves: 129S1/Sv * 129S4/SvJae * 129X1/SvJ	ht	MP:0011110	preweaning lethality, incomplete penetrance
MGI:98974	Xist	Xist<tm4Sado>/Xist<+>	involves: 129S1/Sv * 129S4/SvJae * 129X1/SvJ	ht	MP:0011091	prenatal lethality, complete penetrance
MGI:98974	Xist	Xist<tm5.2Nbd>/Xist<+>	involves: 129P2/OlaHsd	ht	MP:0011098	embryonic lethality during organogenesis, complete penetrance
MGI:98974	Xist	Xist<tm5Sado>/Xist<+>	involves: 129S4/SvJae	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:3797603	Xlch	Xlch/Xlch<+>	involves: C3H/HeJ * C57BL/6J	ht	MP:0011088	neonatal lethality, incomplete penetrance
MGI:5707645	Xtol	Xtol/Xtol<+>	C57BL/6J-Xtol/GrsrJ	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:99146	Ybx1	Ybx1<Gt(W094B04)Wrst>/Ybx1<+>	chimera involves: 129S2/SvPas	ht	MP:0011092	embryonic lethality, complete penetrance
MGI:99150	Yy1	Yy1<tm1Yshi>/Yy1<tm2Yshi>	involves: 129S4/SvJae	ht	MP:0011087	neonatal lethality, complete penetrance
MGI:99150	Yy1	Yy1<tm1Yshi>/Yy1<tm2Yshi>	involves: 129S4/SvJae	ht	MP:0011109	lethality throughout fetal growth and development, incomplete penetrance
MGI:99948	Zfhx3	Zfhx3<tm1.2Jtd>/Zfhx3<+>	involves: 129S6/SvEvTac * C57BL/6 * FVB/N * SJL	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:99187	Zfp42	Zfp42<Gt(XB238)Byg>/Zfp42<+>	involves: 129P2/OlaHsd * C57BL/6	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:1914233	Zfp830	Zfp830<tm2Cota>/Zfp830<tm2.2Cota>	either: (involves: 129/Sv * 129S2/SvPas * C57BL/6) or (involves: 129/Sv * 129S2/SvPas * BALB/c * C57BL/6)	ht	MP:0011094	embryonic lethality before implantation, complete penetrance
MGI:1334444	Zfpm2	Zfpm2<lil>/Zfpm2<tm1Sho>	involves: 129S1/Sv * A/J	ht	MP:0011101	prenatal lethality, incomplete penetrance
MGI:99211	Zfx	Zfx<tm1Dcp>/Zfx<+>	involves: 129S4/SvJae * BALB/c	ht	MP:0011088	neonatal lethality, incomplete penetrance
MGI:99211	Zfx	Zfx<tm1Dcp>/Zfx<+>	involves: 129S4/SvJae * C57BL/6J	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:99211	Zfx	Zfx<tm1Dcp>/Zfx<+>	involves: 129S4/SvJae * C57BL/6J	ht	MP:0011088	neonatal lethality, incomplete penetrance
MGI:106683	Zic1	Zic1/Zic4<tm1Kjmi>/Zic1<+>	involves: 129P2/OlaHsd * C57BL/6J	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:106676	Zic3	Zic3<tm1Bca>/Zic3<+>	involves: 129S7/SvEvBrd * C57BL/6	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:107201	Zic4	Zic1/Zic4<tm1Kjmi>/Zic4<+>	involves: 129P2/OlaHsd * C57BL/6J	ht	MP:0011086	postnatal lethality, incomplete penetrance
MGI:3040693	Zmiz1	Zmiz1<tm1Zsu>/Zmiz1<+>	involves: 129S6/SvEvTac * C57BL/6J	ht	MP:0011110	preweaning lethality, incomplete penetrance
MGI:105076	t	t<6>/t<h17>	Not Specified	ht	MP:0002080	prenatal lethality
MGI:105076	t	t<6>/t<h57>	Not Specified	ht	MP:0011100	preweaning lethality, complete penetrance
MGI:105076	t	t<6>/t<hr4>	Not Specified	ht	MP:0011100	preweaning lethality, complete penetrance
MGI:105076	t	t<h20>/t<6>	Not Specified	ht	MP:0008762	embryonic lethality
MGI:105076	t	t<hr1>/t<6>	Not Specified	ht	MP:0011100	preweaning lethality, complete penetrance
